0,1,2,3,4
12.958967,10.114391,8.305742,11.422972,7.989731
13.305586,10.013997,7.5355363,11.866447,7.5151253
12.590763,10.197752,8.786956,11.4934635,8.82731
12.1209345,9.3171835,7.35043,10.874313,9.817437
11.664734,9.801959,7.3117824,10.53904,8.490572
12.826334,10.879751,6.8146505,12.333525,6.3592463
13.237251,10.091429,7.627277,11.792913,7.502838
11.320141,11.905519,7.2797065,10.191962,7.4576464
13.417135,9.103504,9.466292,11.519702,5.7355065
14.106428,11.050361,7.572362,11.152672,7.4773912
12.743942,11.0908165,6.7829995,12.440562,6.1896987
12.872473,12.477801,8.937486,10.220076,8.92405
13.017806,12.446681,8.772972,10.205422,8.941723
14.036243,11.079841,9.305283,10.953463,6.3684525
12.393627,9.801036,7.980714,11.356927,8.4973545
13.832408,10.901037,8.109316,11.578316,4.878936
13.098169,12.285249,7.6474833,10.46926,7.876327
11.732025,10.566657,8.207139,9.302803,7.7518125
10.670935,9.753526,6.223545,9.354627,7.646525
14.44494,9.399639,9.024386,11.154506,6.4301176
13.513814,10.240108,10.507262,10.107048,4.644698
11.971367,11.196975,9.8790245,9.75811,9.170905
12.774537,11.053554,8.317362,9.952657,8.290002
12.878125,11.359595,7.7833834,8.146619,8.962573
14.51932,9.926149,9.309462,10.927999,6.5449634
14.050583,9.874681,9.13197,10.935136,6.238449
13.850593,10.91764,9.058933,11.289788,6.4732494
11.959428,11.1938505,9.900729,9.75143,9.183848
13.058377,10.947766,9.466756,11.904886,5.8146963
13.601275,10.216748,9.241806,11.126133,6.2149334
12.98014,11.372177,7.68482,8.413799,8.871328
13.2784195,12.348558,7.429672,10.457455,7.86406
14.158877,10.936572,8.314421,11.139047,7.5868587
13.458897,9.9596,10.297588,10.497376,4.3249917
12.734392,10.958289,8.964606,11.202375,8.097311
12.870232,11.362287,7.804274,8.191578,8.951214
14.60577,10.312068,8.99652,10.582101,6.7634425
13.063384,10.238633,8.420369,11.575188,7.153008
14.035071,10.684982,8.009238,11.176895,5.6918592
10.884766,9.807338,6.487061,9.095915,8.065211
13.545712,10.830738,7.556882,11.821791,5.464585
12.001405,9.247192,7.503807,11.017714,9.912562
14.173928,10.53406,8.628358,10.350981,7.3638916
14.4622555,9.621468,8.881795,10.714753,7.542101
11.573581,11.968844,7.448508,10.128635,7.5391383
13.325398,10.031989,7.521693,11.86386,7.5068836
14.5710335,10.575756,8.95261,10.400643,6.7699194
14.824981,9.870067,9.677998,10.871538,6.4141545
14.196189,10.745036,7.8089814,11.201022,6.6859264
12.1873255,9.552475,7.712631,11.098172,9.232462
14.487256,9.243253,9.080804,11.179983,6.3849134
11.971133,9.217329,7.513665,11.042423,9.95988
11.99273,9.4407625,7.56806,10.867849,9.667538
13.866173,11.047465,7.7723436,11.011876,7.689189
13.914151,10.562828,8.029167,11.510006,5.20146
12.879708,11.363204,7.814964,7.993689,9.11495
12.829797,10.872703,6.822158,12.320004,6.3634686
13.376156,9.680441,9.154983,10.494749,5.549107
13.03423,10.421905,9.903563,10.038755,7.1560574
13.995505,10.779115,8.439501,10.311462,7.4870925
12.9521885,12.098376,7.7826886,10.501485,7.807856
12.544104,9.823747,8.088379,11.365276,8.362944
12.160032,9.745369,7.7915826,11.06861,8.6437235
13.971579,10.569111,8.005112,11.458903,5.2481956
12.550327,9.813966,7.8736415,11.3547125,7.977831
12.08052,9.270282,7.3784156,10.921637,9.8739195
14.614895,10.163045,8.989013,10.563844,6.8641486
13.190943,10.380198,9.983821,10.049592,7.0233088
11.548877,9.749429,7.232552,10.421427,8.512856
13.525368,11.7307625,7.743682,10.706482,7.710626
13.806137,10.947946,8.968627,11.5984335,7.054502
13.839698,10.534559,7.6285095,11.508879,6.9871764
13.605866,10.78547,7.6212735,11.771769,5.457892
14.210118,11.176844,7.474438,11.09329,7.2429237
12.03693,9.298969,7.5691204,11.084102,9.943645
13.511914,10.187104,9.750103,9.614995,6.1886377
12.45449,9.882779,7.955772,11.254995,8.352475
12.87531,11.664483,8.462064,9.488685,7.3503375
13.815122,9.589567,8.876672,10.900002,6.3283267
12.536291,11.225755,7.1150165,12.591215,5.891436
12.589865,12.863221,9.264231,10.15737,9.069512
12.134325,9.504524,7.5274734,10.841351,9.881124
13.432443,9.078339,9.457759,11.548814,5.7494936
14.600715,10.476496,9.93349,11.180722,6.728409
